x,y,z
7.114486530000000494e+05,3.082636070000000182e+05,8.928600000000000136e+01
7.114278310000000056e+05,3.082670570000000298e+05,9.214300000000000068e+01
7.114121080000000075e+05,3.082535349999999744e+05,9.430800000000000693e+01
7.114344540000000270e+05,3.082346510000000126e+05,9.035099999999999909e+01
7.114048660000000382e+05,3.082345920000000042e+05,9.406799999999999784e+01
7.114114799999999814e+05,3.082418439999999828e+05,9.348100000000000875e+01
7.114230429999999469e+05,3.082553630000000121e+05,9.220499999999999829e+01
7.114315339999999851e+05,3.082766460000000079e+05,9.229900000000000659e+01
7.114072210000000196e+05,3.082351830000000191e+05,9.363500000000000512e+01
7.114069170000000158e+05,3.082476089999999967e+05,9.512600000000000477e+01
7.114300810000000056e+05,3.082783989999999758e+05,9.275100000000000477e+01
7.114086570000000065e+05,3.082355399999999790e+05,9.329500000000000171e+01
7.114276720000000205e+05,3.082679760000000242e+05,9.223999999999999488e+01
7.114106409999999451e+05,3.082451089999999967e+05,9.380299999999999727e+01
7.114267070000000531e+05,3.082625210000000079e+05,9.203400000000000603e+01
7.114351280000000261e+05,3.082505360000000219e+05,8.978499999999999659e+01
7.114410890000000363e+05,3.082503439999999828e+05,8.979500000000000171e+01
7.114484220000000205e+05,3.082629569999999949e+05,8.934400000000000830e+01
7.114056609999999637e+05,3.082383310000000056e+05,9.431400000000000716e+01
7.114151149999999907e+05,3.082426579999999958e+05,9.276999999999999602e+01
7.114299880000000121e+05,3.082682889999999898e+05,9.179900000000000659e+01
7.114078660000000382e+05,3.082356170000000275e+05,9.353499999999999659e+01
7.114158329999999842e+05,3.082697280000000028e+05,9.465600000000000591e+01
7.114081139999999432e+05,3.082250420000000158e+05,9.233800000000000807e+01
7.114136439999999711e+05,3.082532829999999958e+05,9.401200000000000045e+01
7.114245289999999804e+05,3.082703479999999981e+05,9.316500000000000625e+01
7.114301049999999814e+05,3.082727139999999781e+05,9.233100000000000307e+01
7.114280779999999795e+05,3.082670200000000186e+05,9.206499999999999773e+01
